htid,inferreddate,title,author,nationality,imprint
mdp.39015003684894,1940,"The book of Claudia, | containing the two novels, Claudia, and Claudia and David, | $c: by Rose Franken.","Franken, Rose,",nyu,"New York|Toronto|Farrar & Rinehart, inc.|1940"
mdp.39015010219627,1905,The game / by Jack London ... ; with illustrations and decorations by Henry Hutt and T.C. Lawrence.,"London, Jack, 1876-1916.",mau,"The Macmillan Company ; Macmillan & Co., Ltd., 1905"
mdp.39015004990050,1923,"The doves' nest, and other stories","Mansfield, Katherine",nz,New York|A. A. Knopf|1923
uc1.$b56970,1945,Return to the vineyard,"Loos, Mary",us,"Garden City, N.Y.|Doubled"
mdp.39015008921499,1954,"The flint anchor, | a novel.","Warner, Sylvia Townsend,",nyu,New York|Viking Press|1954.
uc1.b3593032,1959,Fool's paradise. | $c: Translation from the French by Cornelia Schaeffer.,"Poirot-Delpech, Bertrand.",nyu,New York|Harper|1959
mdp.39015030851151,1938,"It takes all kinds, | $c: by Louis Bromfield.","Bromfield, Louis,",nyu,New York.|London|Harper & brothers|1939.
mdp.39015011560003,1986,Raven's wing / | $c: Joyce Carol Oates.,"Oates, Joyce Carol,",nyu,New York|E.P. Dutton|c1986.
uc1.32106010568852,1934,"Seven Gothic tales, | $n: by Isak Dinesen. With an introd. by Dorothy Canfield.","Dinesen, Isak,",nyu,New York|H. Smith and R. Haas|1934
mdp.39015024087069,1961,The Saturday gang. | $c: Illustrated by Burt Silverman.,"Kingman, Lee.",nyu,"Garden City, N. Y.|Doubleday|1961"
mdp.39015030699642,1975,Nicholson at large : a novel,"Just, Ward S",us,"Boston|Little, Brown|1975"
nyp.33433034410963,1894,The greater glory; a story of high life,"Maartens, Maarten",ne,London;R. Bentley and Son
uiuo.ark+=13960=t3hx1r852,1817,Hardenbrass and Haverill;,,us,"London;Sherwood, Neely, a"
mdp.39015020072008,1950,Paul Revere and the minute men,"Fisher, Dorothy Canfield",us,New York|Random House|195
mdp.39015047617744,1968,A married man.,"DeMott, Benjamin,",nyu,"New York|Harcourt, Brace & World|1968"
uc1.$b318317,1924,"The giant cat; or, The quest of Aoun and Zouhr","Rosny, J. H., aÃ®nÃ©, pseud. of J. H. BoÃ«x",fr,New York|R. M. McBride|19
mdp.39015010410929,1963,Voices in the evening.,"Ginzburg, Natalia.",nyu,New York|Dutton|1963.
uc2.ark:/13960/t79s1mg2h,1897,"Bye-ways, by Robert S. Hichens ...","Hichens, Robert Smythe, 1864-1950.",mau,"Dodd, Mead and Company, 1914."
uc1.b4369399,1992,Home truth / | $c: Janis Stout.,"Stout, Janis P.",nyu,"New York, N.Y.|Soho Press|c1992."
uc1.b3444141,1954,German stories and tales.,"Pick, Robert.",nyu,New York|Knopf|1954.
uc1.32106008957109,1899,A mystery of the Pacific,"Smeaton, William Henry Oliphant",uk,"London;Blackie & Son, Ltd"
mdp.39015012866847,1985,Russian and Polish women's fiction,,,Knoxville|University of T
mdp.39015046884725,1998,Louse / | $c: David Grand.,"Grand, David,",nyu,"New York|Arcade Pub.|Distributed by Little, Brown|c1998."
osu.32435066354028,1953,The bloody spur / | $c: by Charles Einstein.,"Einstein, Charles.",nyu,New York|Dell Pub. Co.|1953.
uc1.$b322707,1926,"Goodbye, stranger / | y Stella Benson.","Benson, Stella,",nyu,New York|Macmillan|1926.
mdp.39015063955960,1933,"The case of Colonel Marchand, | $c: by E. C. R. Lorac [pseud.]","Lorac, E. C. R.,",nyu,New York|The Macaulay company|1933
uc1.$b236167,1925,The keys of the city,"Davis, Elmer Holmes",us,New York|R. M. McBride|19
uc1.32106009863165,1981,The missing men / | $c: Dennis Cooper.,"Cooper, Dennis,",cau,"Santa Barbara, Calif.|Am Here Press/Immediate Editions|c1981."
uc1.$b105427,1942,The spectral bride,"Shearing, Joseph",uk,"New York, N.Y.|Smith & Du"
mdp.39015021308989,1934,Death in the wet | $c: [by] Gladys Mitchell.,"Mitchell, Gladys,",pau,Philadelphia|Macrae Smith company|1934.
uc2.ark:/13960/t8pc2vp02,1904,Red hunters and the animal people / by Charles A. Eastman (Ohiyesa) ...,"Eastman, Charles Alexander, 1858-1939.",ilu,"Harper & Brothers, 1904."
uc1.$b102695,1950,The trouble of one house / | $c: Brendan Gill.,"Gill, Brendan,",nyu,"Garden City, N.Y.|Doubleday|1950."
uc2.ark+=13960=t5h98zs4s,1920,"Back to God's country, and other stories","Curwood, James Oliver",us,New York;Grosset and Dunl
wu.89089202519,1920,The children at Hœro Gaard ,"Prydz, Alvilde",no,S.l.|s.n.|192-].
uiuo.ark+=13960=t36119k7x,1829,Stratton hill,"Carne, John",uk,London;H. Colburn;1829.
uc2.ark:/13960/t3ws8jw8s,1877,Marie : a story of Russian love / from the Russian of Alexander Pushkin ; by Marie H. de Zielinska.,"Pushkin, Aleksandr Sergeevich, 1799-1837.",nyu,"A.C. McClurg & Co., 1914."
uc1.$b322945,1951,Born to battle; | collection of animal stories.,"Barker, S. Omar (Squire Omar),",nmu,Albuquerque|University of New Mexico Press|1951
mdp.39015033992804,1994,The cage / | $c: Audrey Schulman.,"Schulman, Audrey,",ncu,"Chapel Hill, N.C.|Algonquin Books of Chapel Hill|1994."
mdp.39015014862232,1957,309 East & A night of levitation.,"Van Orden, Bianca.",nyu,"New York|Harcourt, Brace|1957"
uc1.b3346620,1957,The dark stranger.,"Charques, Dorothy.",nyu,New York|Coward-McCann|1957
uc1.b3728085,1965,Cire perdue,"Butler, William",,London|P. Owen|1965
uc1.b3435563,1970,The assassin,"Anthony, Evelyn",uk,New York|Coward-McCann|19
uva.x030748828,1909,The sheriff of Dyke hole;,"Cullum, Ridgwell",uk,Philadelphia;G. W. Jacobs
uc1.b3346889,1954,"Sand against the wind, | $c: by Lewis Arnold [pseud.]","Evans, David.",nyu,New York|Dutton|1954.
mdp.49015000668237,1978,Women / | $c: Charles Bukowski.,"Bukowski, Charles.",cau,"Santa Barbara, Calif.|Black Sparrow Press|1978."
uc2.ark+=13960=t15m62f6n,1907,The castle of doubt,"Whitson, John Harvey",us,"Boston;Little, Brown, and"
mdp.39015035899320,1929,God have mercy on us! : | a story of 1918 / by William T. Scanlon.,"Scanlon, William T.",mau,Boston|New York|Houghton Mifflin|1929.
uc1.b3727129,1964,"The people one knows, | a novel.","Boles, Robert.",mau,Boston|Houghton Mifflin|1964.
uc1.b3688418,1938,The depening stream : | by Dorothy Canfield.,"Fisher, Dorothy Canfield,",nyu,New York|Modern Library|1938.
njp.32101066164730,1900,A daughter of freedom; a story of the latter period of the war for independence,"Blanchard, Amy Ella",us,Boston;Chicago;W. A. Wild
uc2.ark+=13960=t2794284g,1913,The making of Thomas Barton,"Nicholas, Anna",us,Indianapolis;The Bobbs-Me
mdp.39015041026801,1997,Criminal justice / | $c: Barbara Parker.,"(Barbara J.) Parker, Barbara",nyu,"New York, N.Y., U.S.A.|Dutton|c1997."
mdp.39015002652405,1976,Who do you think you are? : Stories and parodies,"Bradbury, Malcolm",uk,London|Secker & Warburg|1
inu.30000007259918,1971,The diamond hunters,"Smith, Wilbur A",sa,London|Heinemann|1971
uc2.ark:/13960/t27941w82,1915,"Mr. Bingle, by George Barr McCutcheon ... with illustrations by James Montgomery Flagg.","McCutcheon, George Barr, 1866-1928.",nyu,"Dodd, Mead and Company, 1915."
uc1.$b242787,1926,"The splendid shilling; | a novel, | $c: by Idwal Jones.","Jones, Idwal,",nyu,"Garden City, N.Y.|Doubleday, Page & company|1926."
uc1.$b600004,1956,The frontiers of love.,"Chang, Diana (Diana C.)",nyu,New York|Random House|c1956.
uc1.$b106060,1941,"The ordeal of the Falcon, | $c: by GoÃàsta Larsson.","Larsson, GoÃàsta,",nyu,New York|Vanguard Press|c1941
mdp.39015063963246,1932,"Kandan, the patriot","Venkataramani, Kaneripatna Sidhanatha",in,Madras|Svetaranya Ashrama
mdp.39015002758699,1939,"And death came too | $c: [by] Richard Hull, [pseud.] ...","Hull, Richard,",nyu,"New York|J. Messner, inc.|1942"
uc1.$b111291,1961,Caught from time; a selection of Australian prose,"Levis, Ken",au,Sydney|Angus and Robertso
uc1.b4095493,1957,Home from the hill / | $c: by William Humphrey.,"Humphrey, William.",nyu,"New York|Alfred A. Knopf|1958, c1957."
uc1.$b323492,1943,"Nobody lives forever, | $c: by W. R. Burnett.","Burnett, W. R. (William Riley),",nyu,New York|A. A. Knopf|1943.
nyp.33433074851936,1918,The hunter,"Dyke, Watson",us,New York;London;G.P. Putn
uc1.$b56342,1926,Annals of the Magic Isle,"Caine, William Ralph Hall",,London|Palmer|1926
mdp.39015041103303,1997,The ranch / | $c: Danielle Steel.,"Steel, Danielle.",nyu,New York|Delacorte Press|1997.
umn.31951002139557e,1916,The Hidden spring : a novel,"Kelland, Clarence Budington",us,New York;Harper;1916].
mdp.39015043067647,1999,Abhiyatri = One life many rivers,"BaragohÄÃ±i, NirupamÄ",,New Delhi|Sahitya Akademi
uc2.ark:/13960/t39024h9w,1889,Harold's bride : a tale / by A.L.O.E.,"A. L. O. E., 1821-1893.",nyu,"T. Nelson and Sons, 1902."
mdp.39015062108892,1956,Double star / | $c: Robert A. Heinlein ; with a new introd. by Joe Haldeman.,"Heinlein, Robert A. (Robert Anson),",mau,"Boston|Gregg Press|1978, c1956."
uc1.$b244182,1926,"Her son's wife, | by Dorothy Canfield.","Fisher, Dorothy Canfield,",nyu,"New York|Harcourt, Brace and Company|c1926"
uc1.b3810801,1959,From the hand of the hunter,"Braine, John.",mau,Boston|Houghton Mifflin|1960 [c1959
mdp.39015014538360,1957,Folk tales of Pakistan,"Abbas, Zainab Ghulam",pk,Karachi|Pakistan Publicat
uc2.ark+=13960=t2z31nv6d,1903,Tom Johnson,"Rogers, Robert L",,New York;F. T. Neely;c190
mdp.39076002859408,1996,Suspicious river / | $c: Laura Kasischke.,"Kasischke, Laura,",mau,Boston|Houghton Mifflin|1996.
uc2.ark:/13960/t8mc8wj3s,1918,"Front lines, by Boyd Cable [pseud.]","Ewart, Ernest Andrew, 1878-",nyu,"J. Murray, 1918."
uc2.ark:/13960/t4hm53237,1877,"Being a boy, by Charles Dudley Warner ... illustrated by ""Champ"".","Warner, Charles Dudley, 1829-1900.",nyu,"Houghton, Mifflin and Company, [c1919]"
uc1.b4451287,1977,The stone bull / | $c: Phyllis A. Whitney.,"Whitney, Phyllis A.,",nyu,"Garden City, N.Y.|Doubleday|1977."
uc1.$b105348,1943,"Wild river, | $c: by Anna Louise Strong.","Strong, Anna Louise,",mau,"Boston|Little, Brown|c1943"
mdp.39015001044968,1980,"Possessed, or, The secret of Myslotch","Gombrowicz, Witold",po,London|Boston|M. Boyars|1
uc2.ark+=13960=t3610x82j,1836,Adventures of Bilberry Thurland,,,London;R. Bentley;1836.
mdp.39015010370453,1965,"Funeral in Berlin, a novel","Deighton, Len",uk,"New York|Putnam|1965, c19"
uc1.$b63289,1955,The last innocence,"Bertin, CÃ©lia",fr,New York|McGraw-Hill|c195
mdp.39015058727390,1974,Dragonmede / | $c: Rona Randall.,"Randall, Rona,",nyu,New York|Simon and Schuster|c1974.
nyp.33433082548128,1911,"Dick Prescott's second year at West Point; or, Findng the glory of the soldier's life","Hancock, H. Irving (Harrie Irving)",us,Philadelphia;Henry Altemu
uc1.32106009966307,1993,Until proven guilty / | $c: Christine McGuire.,"McGuire, Christine.",nyu,New York|Pocket Books|c1993.
mdp.39015059406234,1943,Golden wedding | $c: [by] Jo Pagano.,"Pagano, Jo,",nyu,New York|Random House|c1943
mdp.39015031599080,1984,Fast lanes / | $c: Jayne Anne Phillips.,"Phillips, Jayne Anne,",nyu,New York|Dutton/Seymour Lawrence|c1987.
mdp.39015016454335,1955,The miracle of Merriford; | $c: Illustrated by J.S.Goldall.,"Arkell, Reginald,",nyu,New York|Reynal & Co.|1956
nyp.33433074871561,1903,The Roman road,"Keats, Gwendoline",uk,New York;Scribner's;1903.
mdp.39015030740735,1971,Many broken hammers.,"Covin, Kelly.",nyu,New York|Delacorte Press|1971
uc1.b3810865,1924,"Blind Raftery and his wife, Hilaria, | $c: by Donn Byrne ... illustrated by John Richard Flanagan.","Byrne, Donn,",nyu,New York|London|The Century Co.|c1924
mdp.39015047511772,1998,Break every rule,"Ray, Francis",us,New York|Kensington Pub. 
mdp.39015005672269,1930,Wishbone,"Bowen, Stirling",,New York|E. P. Dutton & c
uc1.b4422272,1983,Waltz in Marathon / | $c: Charles Dickinson.,"Dickinson, Charles,",nyu,New York|Knopf|1983.
mdp.39015011543694,1948,"Ivy gripped the steps, | and other stories, | $c: by Elizabeth Bowen.","Bowen, Elizabeth,",nyu,New York|A. A. Knopf|1948.
mdp.39015011948372,1848,"Fallacy of ghosts, dreams, and omens; with stories of witchcraft, life-in-death, and monomania","Ollier, Charles",,London;C. Ollier;1848.
mdp.39015013510212,1944,Winter wheat.,"Walker, Mildred,",nyu,"New York|Harcourt, Brace and company|1944"
nyp.33433076021819,1909,A knight in homespun,"Spoth, John Charles",us,"Boston, Mass.;The C. M. C"
nyp.33433076038847,1918,Skyrider,"Sinclair, B. M",us,"Boston;Little, Brown, and"
mdp.39015005364040,1981,The herald / | $c: Michael Shaara.,"Shaara, Michael.",nyu,New York|McGraw-Hill|c1981.
mdp.39015003686857,1937,Death at the inn; | a Dr. Thorndyke detective story | $c: [by] R. Austin Freeman.,"Freeman, R. Austin (Richard Austin),",nyu,"New York|Dodd, Mead & company|1937."
uc2.ark:/13960/t81j97w37,1905,"Iole, by Robert W. Chambers.","Chambers, Robert W. 1865-1933.",nyu,"D. Appleton & Co., 1905."
pst.000049935752,1956,Peyton Place / | $c: by Grace Metalious.,"Metalious, Grace.",nyu,"New York|Simon and Schuster|1981, c1956."
pst.000027670989,1965,Mr. Lincoln's wife,"Colver, Anne",us,"New York|Holt, Rinehart a"
uc2.ark+=13960=t6n017c11,1911,Brown face and white,"Holland, Clive",,"London;Hurst & Blackett, "
uc2.ark:/13960/t70v8ck30,1901,"Truth Dexter, by Sidney McCall [pseud.]","McCall, Sidney.",mau,"Little, Brown, 1906."
mdp.39015003343897,1957,The town / | $c: William Faulkner.,"Faulkner, William,",nyu,New York|Random House|1957.
uc2.ark:/13960/t13n23b6x,1916,Philippine folk tales.,"Cole, Mabel Cook, -approximately 1978.",nyu,"A. C. McClurg & co., 1916."
uc2.ark:/13960/t9j38s216,1864,"The Brookes of Bridlemere, by G.J. Whyte-Melville ...","Whyte-Melville, G. J. 1821-1878.",nyu,"Ward, Lock, & Co., Limited, [1903]"
uc1.b3406949,1964,Taiwo and her twin,"Schatz, Letta",,New York|McGraw-Hill|1964
uc1.b4355107,1986,Leave of absence / | $c: Ralph McInerny.,"McInerny, Ralph M.",nyu,New York|Atheneum|c1986.
mdp.49015002972330,1997,The miracle strain : | a genetic thriller / | $c: Michael Cordy.,"Cordy, Michael.",nyu,New York|W. Morrow and Co.|c1997.
uc2.ark:/13960/t02z1304m,1905,"A little sister of destiny,","Burgess, Gelett, 1866-1951.",nyu,"Houghton, Mifflin & company, 1906."
uc2.ark:/13960/t7dr2qn5d,1907,Under the crust / by Thomas Nelson Page ; illustrated.,"Page, Thomas Nelson, 1853-1922.",nyu,"Charles Scribner's Sons, 1911,c1907."
mdp.39015047597136,1977,The female man,"Russ, Joanna",us,"Boston|Gregg Press|1977, "
uc1.b4938181,1980,The sending,"Household, Geoffrey",uk,London|M. Joseph|c1980.
uiuo.ark+=13960=t3bz6g32r,1892,Ingelheim,"Butt, Beatrice May",,Edinburgh;W. Blackwood;18
uc1.$b34045,1953,Drive slowly--six dogs;,"Bischoff, Ilse",,New York|Viking Press|195
uc1.$b102148,1929,Triall by armes,"Hergesheimer, Joseph",us,London|E. Mathews & Marro
loc.ark:/13960/t6tx4112j,1917,"""Nothing of importance,"" eight months at the front with a Welsh battalion, by Bernard Adams.","Adams, John Bernard Pye, 1890-1917.",nyu,"R. M. McBride & company, 1918."
uc1.b4355423,1990,Seconds,"Wyse, Lois",us,New York|Crown Books|1990
uc1.$b105597,1958,The days dividing,"Selby, John",us,New York|Putnam|1958
mdp.39015028364696,1942,"Fiesta in November; stories from Latin America, selected and edited by Angel Flores and Dudley Poore, with an introduction by Katherine Anne Porter","Flores, Angel",,Boston|Houghton Mifflin c
uc1.b4462433,1977,The taskmaster / | $c: Harold King.,"King, Harold,",nyu,"New York|Coward, McCann & Geoghegan|c1977."
mdp.39015028108226,1960,Heaven knows who / | $c: Christianne Brand.,"Brand, Christianna,",nyu,New York|Scribner|1960.
uc1.32106010992912,1975,The road to Tamazunchale / | $c: Ron Arias,"Arias, Ron,",nyu,New York|Anchor Books|1992
inu.30000004325878,1988,Harvest of tricksters,"Oguntoye, Jide",ni,Ibadan|Onibonoje Press & 
mdp.39015052834705,1964,Pop. 1280 / | $c: Jim Thompson,"Thompson, Jim,",nyu,New York|Vintage Books|1990
uc1.b4557361,1997,A book of Kashmiri short stories,,,Srinagar (J.K.)|PEN Produ
mdp.39015029984435,1993,The historian : | six fantasies of the American experience / | $c: by Eugene K. Garber.,"Garber, Eugene K.",mnu,"Minneapolis, Minn.|Milkweed Editions in conjunction with Triquarterly Books|1993."
uc2.ark:/13960/t5w66fk12,1901,"Shri Rama Chandra, the ideal king; some lessons from the Ramayana for the use of Hindu students in the schools of India. From notes of lectures originally delivered at the Central Hindu College, Benares.","Besant, Annie, 1847-1933.",nyu,"Theosophical Publishing Society, 1901."
uc2.ark+=13960=t8sb3xw2h,1922,Yollop,"McCutcheon, George Barr",us,"New York;Dodd, Mead and c"
mdp.39015000613995,1935,The Asiatics : | a novel / | $c: with an introduction by Carl van Doren.,"Prokosch, Frederic,",nyu,New York|Readers Club|c1941
uc1.$b307410,1923,"The thing at their heels, | $c: by Harrington Hext [pseud.] ...","Phillpotts, Eden,",nyu,New York|The Macmillan Co.|1923.
mdp.39015006565108,1968,The kelpie's pearls,"Hunter, Mollie",,"New York|Avon|1968, c1964"
mdp.39015022285798,1979,Tortuga : a novel,"Anaya, Rudolfo A",us,Albuquerque|University of
mdp.39015008817374,1962,Stranger in a strange land / | $c: Robert A. Heinlein.,"Heinlein, Robert A. (Robert Anson),",nyu,"New York, N.Y.|Avon Books|1962] c1961."
nyp.33433067379978,1814,"Instructive narratives from real life; or, A father's advice to his daughter","Bouilly, Jean Nicolas",fr,London;Printed for H. Col
nyp.33433074927645,1820,"The British novelists; with an essay, and prefaces, biographical and critical",,,London;s.n.;1820.
inu.32000009261134,1925,Lord Jim,"Conrad, Joseph",uk,"Garden City, N.Y.|Doubled"
mdp.39015046835966,1972,"The Golden Lotus; a translation, from the Chinese original, of the novel Chin Pʻing Mei",,,London|Routledge & K. Pau
mdp.39015004954346,1974,Something happened.,"Heller, Joseph.",nyu,New York|Knopf; [distributed by Random House|1974.
uc1.b3835558,1961,A winter's tale,"Godden, Jon",uk,"New York|Knopf|1961, [c19"
mdp.39015063544459,1909,The chronicles of Rhoda,"Cox, Florence Tinsley",,"Boston;Small, Maynard & c"
mdp.39015000612633,1973,The toll.,"Mewshaw, Michael,",nyu,"New York|Random House|1974, c1973"
uc1.b4357753,1980,Maynard's house / | $c: by Herman Raucher.,"Raucher, Herman.",nyu,New York|Putnam|c1980.
mdp.39015015205100,1952,Don Camillo and his flock;,"Guareschi, Giovanni,",nyu,New York|Pellegrini & Cudahy|1952
uc1.b4421514,1981,Rokudan : | a tale of love in six movements / | $c: by Pat Burch.,"Burch, Pat.",nyu,New York|Taplinger Pub. Co.|c1981.
uc1.$b300302,1929,Flight : an epic of the air,"Franklyn, Irwin R",us,New York|Grosset & Dunlap
uc1.$b534058,1981,Si phaendin = Four reigns,"Kukrit Pramoj, M.R",th,Bangkok|Duang Kamol|1981]
mdp.39015005672269,1930,Wishbone,"Bowen, Stirling",,New York|E. P. Dutton & c
mdp.39076002946627,1938,The trouble with tigers.,"Saroyan, William,",nyu,"New York|Harcourt, Brace|c1938"
uc1.b3346828,1942,Deadlier than the male / | $c: James Gunn.,"Gunn, James E.,",nyu,"New York|Duell, Sloan and Pearce|c1942."
uc2.ark:/13960/t3125wn18,1917,"Tenting to-night; a chronicle of sport and adventure in Glacier park and the Cascade mountains, by Mary Roberts Rinehart.","Rinehart, Mary Roberts, 1876-1958.",mau,"Houghton Mifflin company, 1918."
mdp.39015010820176,1969,"The wealth of Mr. Waddy; | a novel. | $c: Edited, with an introd. by Harris Wilson. Pref. by Harry T. Moore.","(Herbert George), Wells, H. G.",ilu,Carbondale|Southern Illinois University Press|1969
uc2.ark:/13960/t6f18vs3z,1908,The nun (L'isoleÃÅe) from the French ... of ReneÃÅ Bazin.,"Bazin, ReneÃÅ, 1853-1932.",nyu,"Scribner, 1908."
